3.07655e-02 8.22908e+03  4.65195e+03 5.31981e+03 1.23752e+03
3.11317e-02 6.50126e+03  1.69399e+03 1.60379e+03 1.23206e+03
3.14986e-02 6.88195e+03  3.64483e+03 3.29168e+03 1.23352e+03
3.18656e-02 1.17727e+04  3.59618e+03 8.14969e+03 1.23352e+03
3.22323e-02 1.45673e+04  1.76719e+03 9.72646e+03 1.26473e+03
3.25967e-02 8.88100e+03  4.66240e+03 5.99920e+03 1.29419e+03
3.29612e-02 6.51347e+03  2.08964e+03 1.90399e+03 1.28712e+03
3.33266e-02 6.67855e+03  3.15228e+03 2.78124e+03 1.28854e+03
3.36922e-02 1.07431e+04  4.07760e+03 7.46475e+03 1.28872e+03
3.40574e-02 1.46478e+04  1.62793e+03 9.73720e+03 1.31265e+03
3.44206e-02 9.61227e+03  4.50351e+03 6.64235e+03 1.34779e+03
3.47835e-02 6.55389e+03  2.58274e+03 2.29751e+03 1.34085e+03
3.51475e-02 6.56739e+03  2.67782e+03 2.37454e+03 1.34213e+03
3.55115e-02 9.77759e+03  4.43211e+03 6.75870e+03 1.34254e+03
3.58754e-02 1.44975e+04  1.66426e+03 9.63323e+03 1.35888e+03
3.62374e-02 1.03850e+04  4.20270e+03 7.23027e+03 1.39763e+03
3.65988e-02 6.64363e+03  3.11728e+03 2.76772e+03 1.39283e+03
3.69613e-02 6.51768e+03  2.27811e+03 2.07860e+03 1.39391e+03
3.73239e-02 8.91885e+03  4.62830e+03 6.05295e+03 1.39456e+03
3.76865e-02 1.41279e+04  1.86871e+03 9.42109e+03 1.40418e+03
3.80473e-02 1.11535e+04  3.80246e+03 7.74679e+03 1.44409e+03
3.84072e-02 6.80375e+03  3.63501e+03 3.29681e+03 1.44320e+03
3.87684e-02 6.50204e+03  1.99831e+03 1.89665e+03 1.44404e+03
3.91295e-02 8.19443e+03  4.65452e+03 5.36758e+03 1.44491e+03
3.94907e-02 1.35661e+04  2.21424e+03 9.11038e+03 1.44950e+03
3.98505e-02 1.18688e+04  3.35457e+03 8.17925e+03 1.48816e+03
4.02090e-02 7.05129e+03  4.08260e+03 3.86614e+03 1.49232e+03
4.05685e-02 6.50001e+03  1.86638e+03 1.82643e+03 1.49240e+03
4.09283e-02 7.61372e+03  4.51954e+03 4.71719e+03 1.49347e+03
4.12881e-02 1.28506e+04  2.66087e+03 8.71256e+03 1.49497e+03
4.16468e-02 1.24896e+04  2.91169e+03 8.52147e+03 1.53037e+03
4.20040e-02 7.39788e+03  4.42037e+03 4.45954e+03 1.54035e+03
4.23619e-02 6.50014e+03  1.89456e+03 1.86457e+03 1.53860e+03
4.27203e-02 7.17731e+03  4.24884e+03 4.11910e+03 1.53979e+03
4.30788e-02 1.20304e+04  3.15688e+03 8.24226e+03 1.53997e+03
4.34365e-02 1.29737e+04  2.52649e+03 8.76647e+03 1.57076e+03
4.37924e-02 7.84490e+03  4.61900e+03 5.05838e+03 1.58688e+03
4.41488e-02 6.50033e+03  2.07608e+03 2.00499e+03 1.58303e+03
4.45058e-02 6.87341e+03  3.88234e+03 3.58864e+03 1.58427e+03
4.48629e-02 1.11582e+04  3.64636e+03 7.71565e+03 1.58424e+03
4.52197e-02 1.32870e+04  2.24343e+03 8.91002e+03 1.60983e+03
4.55744e-02 8.38273e+03  4.66532e+03 5.64458e+03 1.63175e+03
4.59293e-02 6.50717e+03  2.38677e+03 2.23888e+03 1.62640e+03
4.62850e-02 6.68060e+03  3.46894e+03 3.13781e+03 1.62761e+03
4.66407e-02 1.02859e+04  4.07680e+03 7.14997e+03 1.62773e+03
4.69963e-02 1.34112e+04  2.09250e+03 8.95278e+03 1.64781e+03
4.73499e-02 8.99475e+03  4.56395e+03 6.20452e+03 1.67455e+03
4.77033e-02 6.53422e+03  2.79095e+03 2.55572e+03 1.66894e+03
4.80577e-02 6.57184e+03  3.05850e+03 2.77278e+03 1.67006e+03
4.84122e-02 9.45666e+03  4.40770e+03 6.56080e+03 1.67036e+03
4.87664e-02 1.33387e+04  2.08953e+03 8.89695e+03 1.68449e+03
4.91190e-02 9.65207e+03  4.33467e+03 6.72263e+03 1.71453e+03
4.94710e-02 6.59919e+03  3.24298e+03 2.94226e+03 1.71025e+03
4.98241e-02 6.52064e+03  2.70021e+03 2.49967e+03 1.71121e+03
5.01773e-02 8.70838e+03  4.60925e+03 5.96562e+03 1.71171e+03
5.05303e-02 1.30753e+04  2.23280e+03 8.74703e+03 1.72036e+03
5.08819e-02 1.03170e+04  4.01075e+03 7.18433e+03 1.75183e+03
5.12326e-02 6.72060e+03  3.69319e+03 3.38385e+03 1.75035e+03
5.15844e-02 6.50298e+03  2.43555e+03 2.32246e+03 1.75111e+03
5.19363e-02 8.06797e+03  4.66699e+03 5.38187e+03 1.75182e+03
5.22881e-02 1.26407e+04  2.50332e+03 8.51024e+03 1.75618e+03
5.26386e-02 1.09480e+04  3.63484e+03 7.57785e+03 1.78713e+03
5.29881e-02 6.91447e+03  4.09445e+03 3.86501e+03 1.78948e+03
5.33385e-02 6.50000e+03  2.29250e+03 2.24087e+03 1.78981e+03
5.36891e-02 7.54748e+03  4.58387e+03 4.82333e+03 1.79069e+03
5.40397e-02 1.20649e+04  2.86942e+03 8.19566e+03 1.79228e+03
5.43893e-02 1.15073e+04  3.25226e+03 7.89614e+03 1.82102e+03
5.47375e-02 7.19219e+03  4.40930e+03 4.37130e+03 1.82789e+03
5.50865e-02 6.50020e+03  2.28524e+03 2.25256e+03 1.82689e+03
5.54359e-02 7.14956e+03  4.37812e+03 4.30435e+03 1.82789e+03
5.57853e-02 1.13879e+04  3.28913e+03 7.81495e+03 1.82815e+03
5.61340e-02 1.19586e+04  2.90860e+03 8.13314e+03 1.85348e+03
5.64811e-02 7.55758e+03  4.61003e+03 4.88740e+03 1.86523e+03
5.68286e-02 6.50004e+03  2.41225e+03 2.35334e+03 1.86253e+03
5.71768e-02 6.86694e+03  4.08099e+03 3.83883e+03 1.86359e+03
5.75249e-02 1.06541e+04  3.71500e+03 7.38144e+03 1.86356e+03
5.78727e-02 1.22702e+04  2.64422e+03 8.28420e+03 1.88484e+03
5.82187e-02 8.00482e+03  4.68151e+03 5.39756e+03 1.90135e+03
5.85649e-02 6.50366e+03  2.65646e+03 2.53654e+03 1.89728e+03
5.89118e-02 6.68328e+03  3.73286e+03 3.43796e+03 1.89834e+03
5.92588e-02 9.90818e+03  4.10083e+03 6.90945e+03 1.89840e+03
5.96056e-02 1.24221e+04  2.48830e+03 8.34846e+03 1.91542e+03
5.99506e-02 8.52090e+03  4.62381e+03 5.88890e+03 1.93604e+03
6.02954e-02 6.52165e+03  2.98937e+03 2.79377e+03 1.93150e+03
6.06412e-02 6.57656e+03  3.37685e+03 3.10873e+03 1.93249e+03
6.09869e-02 9.18963e+03  4.40875e+03 6.41287e+03 1.93271e+03
6.13326e-02 1.24054e+04  2.45756e+03 8.32734e+03 1.94502e+03
6.16766e-02 9.08373e+03  4.45081e+03 6.34854e+03 1.96863e+03
6.20202e-02 6.56881e+03  3.37369e+03 3.11445e+03 1.96485e+03
6.23648e-02 6.52391e+03  3.05573e+03 2.85651e+03 1.96571e+03
6.27094e-02 8.53206e+03  4.61070e+03 5.90609e+03 1.96611e+03
6.30539e-02 1.22219e+04  2.55441e+03 8.22384e+03 1.97392e+03
6.33970e-02 9.66219e+03  4.18851e+03 6.76333e+03 1.99905e+03
6.37393e-02 6.66139e+03  3.76697e+03 3.48639e+03 1.99728e+03
6.40828e-02 6.50419e+03  2.80745e+03 2.68568e+03 1.99798e+03
6.44262e-02 7.96143e+03  4.69052e+03 5.40431e+03 1.99855e+03
6.47696e-02 1.18853e+04  2.76599e+03 8.04339e+03 2.00269e+03
6.51118e-02 1.02209e+04  3.87209e+03 7.12239e+03 2.02778e+03
6.54530e-02 6.81421e+03  4.12754e+03 3.89663e+03 2.02896e+03
6.57952e-02 6.50007e+03  2.65940e+03 2.59733e+03 2.02940e+03
6.61375e-02 7.49150e+03  4.64697e+03 4.92045e+03 2.03013e+03
6.64798e-02 1.14194e+04  3.06728e+03 7.79325e+03 2.03177e+03
6.68211e-02 1.07257e+04  3.54066e+03 7.41824e+03 2.05540e+03
6.71612e-02 7.03828e+03  4.42038e+03 4.33229e+03 2.06011e+03
6.75021e-02 6.50019e+03  2.62685e+03 2.58990e+03 2.05961e+03
6.78433e-02 7.12633e+03  4.49267e+03 4.46651e+03 2.06045e+03
6.81845e-02 1.08565e+04  3.42417e+03 7.48271e+03 2.06081e+03
6.85250e-02 1.11450e+04  3.23377e+03 7.64557e+03 2.08188e+03
6.88640e-02 7.33899e+03  4.61948e+03 4.78068e+03 2.09052e+03
