5.61052e-05 4.48779e+05  3.69521e+05 3.69521e+05 3.08533e+04
6.15038e-04 7.09759e+05  1.52262e+07 1.55312e+07 1.59387e+05
1.17244e-03 7.23003e+05  5.44157e+07 5.47388e+07 2.44767e+05
1.72810e-03 6.07257e+05  1.17058e+08 1.17262e+08 3.08598e+05
2.28210e-03 7.85485e+05  2.02390e+08 2.02777e+08 3.63280e+05
2.83425e-03 7.54368e+05  3.09723e+08 3.10081e+08 4.19788e+05
3.38469e-03 6.97135e+05  4.38460e+08 4.38754e+08 4.75534e+05
3.93341e-03 7.74595e+05  5.87773e+08 5.88153e+08 5.29873e+05
4.48051e-03 6.39896e+05  7.57275e+08 7.57517e+08 5.78537e+05
5.02603e-03 6.93196e+05  9.46281e+08 9.46577e+08 6.22659e+05
5.56999e-03 8.55630e+05  1.15423e+09 1.15469e+09 6.65053e+05
6.11237e-03 7.80844e+05  1.38065e+09 1.38104e+09 7.06514e+05
6.65307e-03 6.50491e+05  1.62489e+09 1.62515e+09 7.48430e+05
7.19205e-03 6.23659e+05  1.88649e+09 1.88672e+09 7.90110e+05
7.72950e-03 6.84049e+05  2.16500e+09 2.16529e+09 8.30033e+05
8.26533e-03 7.03072e+05  2.45994e+09 2.46024e+09 8.67851e+05
8.79975e-03 7.48106e+05  2.77093e+09 2.77128e+09 9.03621e+05
9.33268e-03 7.86243e+05  3.09754e+09 3.09794e+09 9.37089e+05
9.86428e-03 7.15650e+05  3.43951e+09 3.43983e+09 9.71777e+05
1.00000e-02 6.87553e+05  3.52931e+09 3.52961e+09 9.81700e+05
