4.56906e-03 6.05064e+05  7.86469e+08 7.86700e+08 4.47577e+05
4.62476e-03 6.45477e+05  8.05206e+08 8.05466e+08 4.51916e+05
4.68046e-03 7.11911e+05  8.24121e+08 8.24445e+08 4.57825e+05
4.73612e-03 7.54697e+05  8.43219e+08 8.43591e+08 4.63836e+05
4.79176e-03 7.38310e+05  8.62552e+08 8.62900e+08 4.68305e+05
4.84740e-03 6.96637e+05  8.82099e+08 8.82401e+08 4.71173e+05
4.90303e-03 6.83129e+05  9.01801e+08 9.02112e+08 4.73215e+05
4.95863e-03 6.94834e+05  9.21695e+08 9.22038e+08 4.74741e+05
5.01421e-03 7.04290e+05  9.41835e+08 9.42176e+08 4.76062e+05
5.06977e-03 7.17845e+05  9.62168e+08 9.62506e+08 4.77845e+05
5.12532e-03 7.37514e+05  9.82650e+08 9.83009e+08 4.80592e+05
5.18085e-03 7.25005e+05  1.00334e+09 1.00368e+09 4.84248e+05
5.23636e-03 6.68092e+05  1.02427e+09 1.02453e+09 4.88246e+05
5.29187e-03 6.16103e+05  1.04538e+09 1.04559e+09 4.92029e+05
5.34737e-03 6.06329e+05  1.06664e+09 1.06687e+09 4.95350e+05
5.40283e-03 6.30490e+05  1.08813e+09 1.08840e+09 4.98249e+05
5.45828e-03 6.88079e+05  1.10984e+09 1.11016e+09 5.00888e+05
5.51372e-03 7.80593e+05  1.13170e+09 1.13211e+09 5.03247e+05
5.56914e-03 8.49899e+05  1.15373e+09 1.15422e+09 5.05367e+05
5.62456e-03 8.21157e+05  1.17601e+09 1.17646e+09 5.07637e+05
5.67995e-03 7.12348e+05  1.19851e+09 1.19882e+09 5.10119e+05
5.73531e-03 6.13996e+05  1.22113e+09 1.22134e+09 5.12516e+05
5.79066e-03 5.69944e+05  1.24390e+09 1.24408e+09 5.15112e+05
5.84600e-03 5.66043e+05  1.26692e+09 1.26711e+09 5.18418e+05
5.90132e-03 6.08348e+05  1.29018e+09 1.29039e+09 5.22154e+05
5.95661e-03 7.07504e+05  1.31357e+09 1.31390e+09 5.25771e+05
6.01190e-03 8.06366e+05  1.33712e+09 1.33757e+09 5.29271e+05
6.06718e-03 8.24980e+05  1.36090e+09 1.36136e+09 5.32564e+05
6.12242e-03 7.64664e+05  1.38487e+09 1.38525e+09 5.35066e+05
6.17765e-03 6.88566e+05  1.40900e+09 1.40931e+09 5.36804e+05
6.23289e-03 6.32993e+05  1.43332e+09 1.43358e+09 5.38667e+05
