5.72372e-05 4.49053e+05  3.73448e+05 3.73448e+05 2.09839e+04
1.19581e-03 7.26692e+05  5.65053e+07 5.68330e+07 1.88037e+05
2.32735e-03 7.03344e+05  2.10297e+08 2.10595e+08 2.82827e+05
3.45167e-03 6.97796e+05  4.55441e+08 4.55738e+08 3.68314e+05
4.56906e-03 6.28188e+05  7.86464e+08 7.86696e+08 4.47576e+05
5.67995e-03 7.11137e+05  1.19850e+09 1.19881e+09 5.10119e+05
6.78405e-03 7.48633e+05  1.68665e+09 1.68700e+09 5.68090e+05
7.88135e-03 7.89588e+05  2.24662e+09 2.24702e+09 6.26307e+05
8.97230e-03 6.88856e+05  2.87467e+09 2.87496e+09 6.80487e+05
1.00000e-02 6.87166e+05  3.52906e+09 3.52936e+09 7.27274e+05
