8.64626e-05 1.52571e-04  2.26802e-01 2.26906e-01 2.99771e-05
8.75467e-05 3.02731e-04  2.32504e-01 2.32734e-01 3.02175e-05
8.86311e-05 3.55364e-04  2.38263e-01 2.38540e-01 3.05026e-05
8.97155e-05 3.13879e-04  2.44088e-01 2.44349e-01 3.06893e-05
9.08001e-05 3.31693e-04  2.49985e-01 2.50271e-01 3.09706e-05
9.18847e-05 3.26812e-04  2.56000e-01 2.56271e-01 3.11182e-05
9.29695e-05 3.12706e-04  2.62066e-01 2.62312e-01 3.13652e-05
9.40544e-05 3.15434e-04  2.68202e-01 2.68443e-01 3.16514e-05
9.51393e-05 1.57359e-04  2.74400e-01 2.74508e-01 3.18868e-05
9.62244e-05 1.21053e-04  2.80639e-01 2.80721e-01 3.23353e-05
9.73096e-05 1.47719e-04  2.86970e-01 2.87075e-01 3.25364e-05
9.83948e-05 1.72959e-04  2.93381e-01 2.93508e-01 3.27417e-05
9.94803e-05 1.76830e-04  2.99891e-01 3.00020e-01 3.30814e-05
1.00566e-04 1.84677e-04  3.06461e-01 3.06601e-01 3.32823e-05
1.01652e-04 1.76898e-04  3.13074e-01 3.13216e-01 3.37165e-05
1.02737e-04 3.30218e-04  3.19766e-01 3.20035e-01 3.38927e-05
1.03823e-04 4.45008e-04  3.26501e-01 3.26854e-01 3.42608e-05
1.04909e-04 4.33248e-04  3.33335e-01 3.33674e-01 3.46677e-05
1.05996e-04 3.60146e-04  3.40265e-01 3.40542e-01 3.48118e-05
1.07082e-04 2.45736e-04  3.47265e-01 3.47449e-01 3.51447e-05
1.08168e-04 1.73470e-04  3.54331e-01 3.54453e-01 3.53615e-05
1.09255e-04 2.18174e-04  3.61424e-01 3.61586e-01 3.55343e-05
1.10341e-04 1.33419e-04  3.68598e-01 3.68690e-01 3.57541e-05
1.11428e-04 1.10108e-04  3.75853e-01 3.75925e-01 3.60037e-05
1.12515e-04 1.36162e-04  3.83192e-01 3.83287e-01 3.63794e-05
1.13602e-04 1.60990e-04  3.90631e-01 3.90747e-01 3.65288e-05
1.14689e-04 2.80408e-04  3.98120e-01 3.98329e-01 3.67081e-05
1.15776e-04 3.45505e-04  4.05662e-01 4.05921e-01 3.69846e-05
1.16864e-04 3.29219e-04  4.13246e-01 4.13498e-01 3.70954e-05
1.17951e-04 3.84357e-04  4.20919e-01 4.21223e-01 3.72655e-05
1.19039e-04 3.62496e-04  4.28702e-01 4.28988e-01 3.73613e-05
1.20126e-04 3.25990e-04  4.36545e-01 4.36804e-01 3.76372e-05
1.21214e-04 2.53613e-04  4.44472e-01 4.44670e-01 3.78603e-05
1.22302e-04 1.32448e-04  4.52441e-01 4.52536e-01 3.80725e-05
1.23390e-04 1.17012e-04  4.60460e-01 4.60541e-01 3.83871e-05
1.24478e-04 1.85811e-04  4.68564e-01 4.68700e-01 3.84995e-05
1.25566e-04 1.90259e-04  4.76748e-01 4.76888e-01 3.86817e-05
1.26655e-04 1.87349e-04  4.85033e-01 4.85168e-01 3.88379e-05
1.27743e-04 1.87163e-04  4.93373e-01 4.93507e-01 3.90869e-05
1.28832e-04 1.87357e-04  5.01774e-01 5.01911e-01 3.94084e-05
1.29921e-04 3.06151e-04  5.10242e-01 5.10479e-01 3.95372e-05
1.31010e-04 3.78049e-04  5.18765e-01 5.19068e-01 3.98932e-05
1.32099e-04 3.48617e-04  5.27375e-01 5.27664e-01 4.01355e-05
1.33188e-04 3.23557e-04  5.36060e-01 5.36332e-01 4.03025e-05
1.34277e-04 2.59616e-04  5.44837e-01 5.45050e-01 4.05638e-05
1.35366e-04 2.32337e-04  5.53681e-01 5.53858e-01 4.07218e-05
1.36456e-04 2.58200e-04  5.62569e-01 5.62762e-01 4.09826e-05
1.37545e-04 1.46347e-04  5.71534e-01 5.71634e-01 4.11676e-05
1.38635e-04 1.20224e-04  5.80556e-01 5.80636e-01 4.13932e-05
1.39725e-04 1.41701e-04  5.89662e-01 5.89762e-01 4.17142e-05
1.40815e-04 1.65914e-04  5.98862e-01 5.98984e-01 4.18442e-05
1.41905e-04 2.29368e-04  6.08134e-01 6.08305e-01 4.20092e-05
1.42995e-04 2.54887e-04  6.17473e-01 6.17669e-01 4.22343e-05
1.44085e-04 2.54319e-04  6.26849e-01 6.27055e-01 4.23834e-05
1.45175e-04 3.54458e-04  6.36303e-01 6.36595e-01 4.25704e-05
1.46266e-04 3.87364e-04  6.45837e-01 6.46150e-01 4.27128e-05
1.47357e-04 3.79948e-04  6.55449e-01 6.55749e-01 4.30222e-05
1.48447e-04 2.93162e-04  6.65153e-01 6.65377e-01 4.32056e-05
1.49538e-04 1.70128e-04  6.74916e-01 6.75036e-01 4.34264e-05
1.50629e-04 1.17984e-04  6.84745e-01 6.84819e-01 4.36987e-05
1.51720e-04 1.84551e-04  6.94622e-01 6.94754e-01 4.37979e-05
1.52811e-04 1.81419e-04  7.04565e-01 7.04700e-01 4.39516e-05
1.53903e-04 1.93372e-04  7.14609e-01 7.14754e-01 4.40687e-05
1.54994e-04 1.82412e-04  7.24731e-01 7.24866e-01 4.45101e-05
1.56086e-04 1.91840e-04  7.34936e-01 7.35080e-01 4.47457e-05
1.57177e-04 2.80806e-04  7.45198e-01 7.45410e-01 4.48657e-05
1.58269e-04 3.42852e-04  7.55502e-01 7.55768e-01 4.51778e-05
1.59361e-04 3.21321e-04  7.65870e-01 7.66123e-01 4.53984e-05
1.60453e-04 3.35024e-04  7.76322e-01 7.76591e-01 4.56076e-05
1.61545e-04 2.68312e-04  7.86886e-01 7.87095e-01 4.57413e-05
1.62637e-04 2.57740e-04  7.97519e-01 7.97714e-01 4.59570e-05
1.63730e-04 2.47415e-04  8.08205e-01 8.08389e-01 4.62789e-05
1.64822e-04 1.79362e-04  8.18947e-01 8.19080e-01 4.64397e-05
