9.76755e-05 6.12598e+04  4.68671e+04 4.68671e+04 1.11903e+04
1.95351e-04 8.43447e+04  1.24359e+05 1.53998e+05 1.25396e+04
2.93005e-04 8.41281e+04  2.61051e+05 2.90426e+05 1.27109e+04
3.90609e-04 6.80009e+04  4.57916e+05 4.69475e+05 1.26145e+04
4.88214e-04 6.01706e+04  7.04748e+05 7.09000e+05 1.64415e+04
5.85808e-04 6.01336e+04  1.01054e+06 1.01476e+06 2.54877e+04
6.83394e-04 6.42871e+04  1.37201e+06 1.38054e+06 3.26768e+04
7.80969e-04 6.85551e+04  1.78461e+06 1.79794e+06 3.59822e+04
8.78528e-04 6.86043e+04  2.25066e+06 2.26404e+06 3.78320e+04
9.76070e-04 6.59553e+04  2.77108e+06 2.78161e+06 4.01019e+04
1.07360e-03 6.40816e+04  3.34585e+06 3.35442e+06 4.37143e+04
1.17111e-03 6.40414e+04  3.97522e+06 3.98375e+06 4.82163e+04
1.26861e-03 6.50980e+04  4.65854e+06 4.66819e+06 5.24328e+04
1.36610e-03 6.59809e+04  5.39527e+06 5.40588e+06 5.59221e+04
1.46357e-03 6.59879e+04  6.18548e+06 6.19610e+06 5.90379e+04
1.56102e-03 6.54505e+04  7.02933e+06 7.03937e+06 6.22607e+04
1.65847e-03 6.50328e+04  7.92686e+06 7.93646e+06 6.57934e+04
1.75590e-03 6.50159e+04  8.87799e+06 8.88757e+06 6.95030e+04
1.85331e-03 6.52433e+04  9.88253e+06 9.89235e+06 7.31527e+04
1.95071e-03 6.54228e+04  1.09403e+07 1.09503e+07 7.66485e+04
2.04810e-03 6.54152e+04  1.20513e+07 1.20613e+07 8.00590e+04
2.14547e-03 6.52936e+04  1.32154e+07 1.32253e+07 8.34911e+04
2.24283e-03 6.51967e+04  1.44326e+07 1.44424e+07 8.69877e+04
2.34017e-03 6.51864e+04  1.57029e+07 1.57127e+07 9.05181e+04
2.43750e-03 6.52280e+04  1.70261e+07 1.70359e+07 9.40322e+04
2.53482e-03 6.52580e+04  1.84021e+07 1.84120e+07 9.75105e+04
2.63212e-03 6.52479e+04  1.98309e+07 1.98407e+07 1.00968e+05
2.72941e-03 6.52140e+04  2.13124e+07 2.13221e+07 1.04427e+05
2.82668e-03 6.51859e+04  2.28464e+07 2.28562e+07 1.07897e+05
2.92394e-03 6.51764e+04  2.44331e+07 2.44428e+07 1.11371e+05
3.02119e-03 6.51777e+04  2.60721e+07 2.60819e+07 1.14838e+05
3.11842e-03 6.51761e+04  2.77636e+07 2.77733e+07 1.18295e+05
3.21564e-03 6.51660e+04  2.95073e+07 2.95171e+07 1.21744e+05
3.31284e-03 6.51510e+04  3.13033e+07 3.13130e+07 1.25191e+05
3.41003e-03 6.51374e+04  3.31514e+07 3.31612e+07 1.28637e+05
3.50721e-03 6.51278e+04  3.50516e+07 3.50613e+07 1.32081e+05
3.60437e-03 6.51205e+04  3.70038e+07 3.70135e+07 1.35520e+05
3.70152e-03 6.51124e+04  3.90080e+07 3.90176e+07 1.38955e+05
3.79866e-03 6.51025e+04  4.10639e+07 4.10736e+07 1.42384e+05
3.89578e-03 6.50916e+04  4.31716e+07 4.31813e+07 1.45810e+05
3.99288e-03 6.50811e+04  4.53310e+07 4.53407e+07 1.49233e+05
4.08997e-03 6.50715e+04  4.75421e+07 4.75517e+07 1.52653e+05
4.18705e-03 6.50623e+04  4.98046e+07 4.98143e+07 1.56069e+05
4.28412e-03 6.50529e+04  5.21187e+07 5.21283e+07 1.59480e+05
4.38117e-03 6.50432e+04  5.44841e+07 5.44937e+07 1.62888e+05
4.47820e-03 6.50332e+04  5.69008e+07 5.69104e+07 1.66292e+05
4.57523e-03 6.50234e+04  5.93688e+07 5.93784e+07 1.69693e+05
4.67224e-03 6.50138e+04  6.18879e+07 6.18975e+07 1.73090e+05
4.76923e-03 6.50042e+04  6.44582e+07 6.44677e+07 1.76483e+05
4.86621e-03 6.49947e+04  6.70794e+07 6.70890e+07 1.79872e+05
4.96318e-03 6.49850e+04  6.97516e+07 6.97611e+07 1.83258e+05
5.06013e-03 6.49754e+04  7.24747e+07 7.24842e+07 1.86640e+05
5.15707e-03 6.49657e+04  7.52485e+07 7.52580e+07 1.90018e+05
5.25400e-03 6.49561e+04  7.80731e+07 7.80826e+07 1.93393e+05
5.35091e-03 6.49466e+04  8.09483e+07 8.09578e+07 1.96764e+05
5.44781e-03 6.49370e+04  8.38741e+07 8.38836e+07 2.00131e+05
5.54470e-03 6.49274e+04  8.68504e+07 8.68598e+07 2.03495e+05
5.64157e-03 6.49179e+04  8.98771e+07 8.98865e+07 2.06855e+05
